Name,URI,Region_GSS_code,Period,SalesVolume,ReportingPeriod,housePriceIndex,averagePrice,percentageChangeMonthly,percentageAnnualChange
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2016-04,207,monthly,115.56,366843,1.77,17.0
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2007-11,425,monthly,75.0,238093,-0.01,12.02
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2009-04,88,monthly,64.66,205269,-1.25,-14.84
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2014-12,348,monthly,98.57,312911,0.36,15.48
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2007-12,324,monthly,75.03,238202,0.05,11.09
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2009-05,125,monthly,63.17,200544,-2.3,-16.33
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2009-06,161,monthly,63.08,200256,-0.14,-16.87
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2009-07,216,monthly,63.36,201148,0.45,-13.94
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2009-08,219,monthly,65.26,207186,3.0,-9.57
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2009-09,201,monthly,67.42,214017,3.3,-4.04
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2012-10,225,monthly,75.65,240144,-0.21,4.57
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2012-11,249,monthly,75.52,239733,-0.17,5.85
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2012-12,240,monthly,76.16,241770,0.85,8.17
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2015-10,379,monthly,108.06,343040,0.39,9.27
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2008-10,151,monthly,68.86,218606,-1.98,-8.19
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2015-11,443,monthly,109.29,346944,1.14,11.28
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2008-11,113,monthly,67.85,215387,-1.47,-9.54
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2015-12,456,monthly,113.47,360228,3.83,15.12
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2008-12,112,monthly,67.6,214614,-0.36,-9.9
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2009-10,222,monthly,68.85,218572,2.13,-0.02
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2009-11,184,monthly,69.25,219851,0.59,2.07
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2010-01,137,monthly,69.72,221333,0.36,2.85
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2009-12,237,monthly,69.47,220537,0.31,2.76
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2010-02,169,monthly,69.92,221962,0.28,4.0
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2010-03,170,monthly,70.64,224266,1.04,7.89
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2010-04,165,monthly,70.21,222902,-0.61,8.59
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2010-05,156,monthly,71.06,225583,1.2,12.49
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2010-06,196,monthly,71.01,225440,-0.06,12.58
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2010-07,259,monthly,73.67,233860,3.74,16.26
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2013-01,187,monthly,76.64,243318,0.64,6.67
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2010-08,181,monthly,75.0,238091,1.81,14.92
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2013-02,182,monthly,77.07,244673,0.56,6.3
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2010-09,201,monthly,75.54,239809,0.72,12.05
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2013-03,271,monthly,77.76,246865,0.9,6.28
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2013-04,187,monthly,77.8,246977,0.05,5.69
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2013-05,263,monthly,78.71,249863,1.17,5.88
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2013-06,271,monthly,78.37,248787,-0.43,4.23
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2013-07,315,monthly,79.29,251706,1.17,4.36
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2013-08,353,monthly,80.21,254633,1.16,5.49
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2013-09,349,monthly,81.57,258940,1.69,7.6
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2011-01,142,monthly,72.53,230261,0.2,4.03
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2011-02,156,monthly,72.19,229168,-0.47,3.25
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2011-03,195,monthly,71.26,226218,-1.29,0.87
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2011-04,179,monthly,71.73,227707,0.66,2.16
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2011-05,200,monthly,73.29,232675,2.18,3.14
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2011-06,231,monthly,73.54,233462,0.34,3.56
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2011-07,306,monthly,72.74,230915,-1.09,-1.26
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2014-01,341,monthly,87.08,276452,2.02,13.62
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2007-01,373,monthly,68.42,217207,1.3,7.43
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2011-08,264,monthly,72.24,229331,-0.69,-3.68
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2014-02,299,monthly,87.82,278805,0.85,13.95
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2007-02,401,monthly,69.34,220127,1.34,9.46
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2011-09,241,monthly,73.13,232159,1.23,-3.19
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2014-03,272,monthly,86.99,276157,-0.95,11.87
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2007-03,486,monthly,69.19,219652,-0.22,9.36
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2014-04,340,monthly,89.37,283714,2.74,14.87
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2007-04,370,monthly,70.22,222934,1.49,11.83
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2014-05,567,monthly,91.54,290617,2.43,16.31
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2007-05,419,monthly,71.12,225765,1.27,11.77
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2014-06,435,monthly,96.2,305405,5.09,22.76
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2007-06,442,monthly,71.73,227730,0.87,10.53
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2014-07,497,monthly,96.03,304856,-0.18,21.12
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2007-07,483,monthly,72.34,229651,0.84,9.18
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2014-08,428,monthly,98.85,313802,2.93,23.24
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2007-08,510,monthly,73.23,232465,1.23,9.68
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2014-09,405,monthly,98.21,311769,-0.65,20.4
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2012-01,180,monthly,71.85,228109,2.06,-0.93
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2007-09,513,monthly,74.47,236410,1.7,11.35
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2012-02,210,monthly,72.5,230169,0.9,0.44
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2010-10,227,monthly,73.98,234856,-2.07,7.45
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2012-03,317,monthly,73.17,232273,0.91,2.68
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2010-11,176,monthly,72.75,230941,-1.67,5.04
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2012-04,174,monthly,73.61,233684,0.61,2.63
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2010-12,196,monthly,72.38,229791,-0.5,4.2
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2012-05,224,monthly,74.34,235996,0.99,1.43
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2012-06,273,monthly,75.19,238693,1.14,2.24
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2012-07,226,monthly,75.97,241183,1.04,4.45
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2015-01,351,monthly,100.0,317461,1.45,14.83
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2008-01,251,monthly,75.11,238450,0.1,9.78
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2012-08,256,monthly,76.03,241372,0.08,5.25
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2015-02,367,monthly,99.88,317091,-0.12,13.73
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2008-02,262,monthly,75.48,239629,0.49,8.86
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2013-10,395,monthly,82.02,260391,0.56,8.43
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2012-09,190,monthly,75.8,240644,-0.3,3.65
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2015-03,290,monthly,99.25,315069,-0.64,14.09
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2008-03,255,monthly,75.42,239432,-0.08,9.01
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2013-11,393,monthly,83.06,263672,1.26,9.99
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2015-04,242,monthly,98.76,313539,-0.49,10.51
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2008-04,205,monthly,75.93,241051,0.68,8.13
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2013-12,368,monthly,85.35,270966,2.77,12.08
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2015-05,286,monthly,100.73,319770,1.99,10.03
