Name,URI,Region_GSS_code,Period,SalesVolume,ReportingPeriod,housePriceIndex,averagePrice,percentageChangeMonthly,percentageAnnualChange
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2015-01,8142,monthly,100.0,402847,-0.01,13.21
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2008-01,8541,monthly,74.12,298596,0.2,11.56
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2015-02,7937,monthly,100.48,404773,0.48,13.1
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2008-02,8773,monthly,73.4,295700,-0.97,9.2
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2013-10,10935,monthly,84.41,340045,-0.13,9.59
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2015-03,8847,monthly,100.46,404706,-0.02,11.98
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2008-03,8002,monthly,72.88,293605,-0.71,7.36
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2013-11,11427,monthly,85.33,343749,1.09,11.41
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2015-04,8323,monthly,101.89,410445,1.42,9.35
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2008-04,8074,monthly,73.07,294346,0.25,5.57
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2013-12,10775,monthly,87.38,352028,2.41,12.2
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2015-05,9059,monthly,103.22,415817,1.31,8.65
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2008-05,8075,monthly,73.27,295163,0.28,4.4
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2015-06,10721,monthly,104.13,419474,0.88,8.34
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2008-06,7540,monthly,72.01,290100,-1.72,1.45
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2015-07,11980,monthly,107.15,431644,2.9,8.25
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2008-07,6935,monthly,72.05,290261,0.06,-1.84
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2015-08,10499,monthly,108.27,436152,1.04,7.76
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2008-08,5982,monthly,69.93,281721,-2.94,-5.35
'London',http://landregistry.data.gov.uk/id/region/london,E12000007,2015-09,10686,monthly,109.16,439729,0.82,8.93
