Name,URI,Region_GSS_code,Period,SalesVolume,ReportingPeriod,housePriceIndex,averagePrice,percentageChangeMonthly,percentageAnnualChange
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-03,54489,monthly,86.88,165649,-0.46,-1.33
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-04,59195,monthly,88.23,168218,1.55,-1.06
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-05,57437,monthly,87.83,167470,-0.44,-1.98
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-06,67036,monthly,87.98,167753,0.17,-2.29
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-10,108562,monthly,106.29,202664,0.14,5.63
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-07,72454,monthly,89.09,169866,1.26,-2.05
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2007-01,107331,monthly,92.71,176758,-0.03,10.49
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-11,97965,monthly,107.11,204223,0.77,6.81
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-08,74282,monthly,89.14,169968,0.06,-1.99
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2007-02,104806,monthly,92.97,177261,0.28,10.63
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-12,98508,monthly,107.48,204920,0.34,6.91
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-09,73949,monthly,88.92,169544,-0.25,-1.98
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2007-03,128869,monthly,93.69,178636,0.78,10.59
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2007-04,118267,monthly,95.58,182243,2.02,10.42
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2007-05,132147,monthly,96.68,184330,1.15,10.64
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2007-06,151812,monthly,97.74,186348,1.09,10.8
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2007-07,139264,monthly,98.96,188691,1.26,10.6
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2007-08,149410,monthly,99.54,189786,0.58,10.32
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-01,51610,monthly,87.02,165908,-0.68,-0.83
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2007-09,119194,monthly,99.67,190032,0.13,10.01
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-02,52216,monthly,86.78,165457,-0.27,-0.58
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2010-10,68601,monthly,89.71,171045,-1.11,2.78
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-03,71569,monthly,87.04,165947,0.3,0.18
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2010-11,65440,monthly,88.64,169013,-1.19,1.21
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-04,52179,monthly,88.04,167854,1.15,-0.22
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2010-12,65416,monthly,88.48,168703,-0.18,0.37
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-05,61885,monthly,88.32,168395,0.32,0.55
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-06,70653,monthly,89.19,170049,0.98,1.37
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-07,69003,monthly,89.53,170701,0.38,0.49
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2008-01,69661,monthly,97.44,185782,-1.8,5.11
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-08,76293,monthly,89.63,170902,0.12,0.55
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2008-02,73683,monthly,96.6,184185,-0.86,3.91
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-09,62415,monthly,89.32,170295,-0.36,0.44
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2008-03,71247,monthly,95.9,182845,-0.73,2.36
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2008-04,76653,monthly,96.06,183148,0.17,0.5
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2008-05,80039,monthly,96.64,184267,0.61,-0.03
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2008-06,72676,monthly,95.37,181831,-1.32,-2.42
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2008-07,63875,monthly,94.33,179845,-1.09,-4.69
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2008-08,59175,monthly,92.36,176092,-2.09,-7.22
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2013-01,51419,monthly,87.96,167716,-0.67,1.09
'United Kingdom',http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2008-09,50985,monthly,90.03,171660,-2.52,-9.67
